,0
0,Tennessee
1,Delaware
2,North Carolina
3,Utah
4,Massachusetts
5,Nevada
6,Montana
7,Missouri
8,Kentucky
9,Michigan
10,Rhode Island
11,Oregon
12,Georgia
13,Kansas
14,Idaho
15,Arizona
16,Ohio
17,South Carolina
18,Nebraska
19,Pennsylvania
